Animal_ID,Rack,Tank,DOB,Cohort,Environmental_Condition,Sex,Lineage,Transgenic_Line,Experimental_Holds,Species,Protocol_Number,Experimental_History,RFID,Date_of_Terra,Date_of_Reaqua,Diet
SAL_196,Rack 11,B1,1/13/23 0:00,Terra P,Terrestrial,Unknown,,WT,,Pleurodeles waltl,AABL1550,,,4/3/25 0:00,,
SAL_197,Rack 11,B1,1/13/23 0:00,Terra P,Terrestrial,Unknown,,WT,,Pleurodeles waltl,AABL1550,,,4/3/25 0:00,,
SAL_198,Rack 11,B1,1/13/23 0:00,Terra P,Terrestrial,Unknown,,WT,,Pleurodeles waltl,AABL1550,,,4/3/25 0:00,,
SAL_199,Rack 11,B1,1/13/23 0:00,Terra P,Terrestrial,Unknown,,WT,,Pleurodeles waltl,AABL1550,,,4/3/25 0:00,,
SAL_200,Rack 8,B4,2/2/23 0:00,,Aquatic,Unknown,,WT,,Pleurodeles waltl,AABL1550,,,,,
SAL_201,Rack 8,B4,2/2/23 0:00,,Aquatic,Unknown,,WT,,Pleurodeles waltl,AABL1550,,,,,
SAL_202,Rack 8,B4,2/2/23 0:00,,Aquatic,Unknown,,WT,,Pleurodeles waltl,AABL1550,,,,,
SAL_203,Rack 8,B4,2/2/23 0:00,,Aquatic,Unknown,,WT,,Pleurodeles waltl,AABL1550,,,,,
SAL_204,Rack 4,A1,8/5/23 0:00,,Aquatic,Female,,WT,LX St Jude,Pleurodeles waltl,AABL1550,,,,,
SAL_205,Rack 4,A1,8/5/23 0:00,,Aquatic,Female,,WT,LX St Jude,Pleurodeles waltl,AABL1550,,,,,
SAL_206,Rack 4,A1,8/5/23 0:00,,Aquatic,Female,,WT,LX St Jude,Pleurodeles waltl,AABL1550,,,,,
SAL_207,Rack 4,A2,7/30/23 0:00,,Aquatic,Unknown,,WT,,Pleurodeles waltl,AABF2564,,,,,
SAL_208,Rack 4,A2,7/30/23 0:00,,Aquatic,Unknown,,WT,,Pleurodeles waltl,AABF2564,,,,,
SAL_209,Rack 4,A2,7/30/23 0:00,,Aquatic,Unknown,,WT,,Pleurodeles waltl,AABF2564,,,,,
SAL_210,Rack 4,A2,7/30/23 0:00,,Aquatic,Unknown,,WT,,Pleurodeles waltl,AABF2564,,,,,
SAL_211,Rack 4,A2,7/30/23 0:00,,Aquatic,Unknown,,WT,,Pleurodeles waltl,AABF2564,,,,,
SAL_212,Rack 4,C3,8/7/23 0:00,Viral,Aquatic,Unknown,,WT,ECJ,Pleurodeles waltl,AABL1550,ECJ Viral PHPeB CAG G8s,,,,
SAL_213,Rack 4,C3,8/7/23 0:00,Viral,Aquatic,Unknown,,WT,ECJ,Pleurodeles waltl,AABL1550,ECJ Viral PHPeB CAG G8s,,,,
SAL_214,Rack 4,C3,8/7/23 0:00,Viral,Aquatic,Unknown,,WT,ECJ,Pleurodeles waltl,AABL1550,ECJ Viral PHPeB CAG G8s,,,,
SAL_215,Rack 4,C3,8/7/23 0:00,Viral,Aquatic,Unknown,,WT,ECJ,Pleurodeles waltl,AABL1550,ECJ Viral PHPeB CAG G8s,,,,
SAL_216,Rack 4,C3,8/7/23 0:00,Viral,Aquatic,Unknown,,WT,ECJ,Pleurodeles waltl,AABL1550,ECJ Viral PHPeB CAG G8s,,,,
SAL_217,Rack 4,C4,7/21/23 0:00,Viral,Aquatic,Unknown,,WT,ECJ,Pleurodeles waltl,AABL1550,ECJ Viral PHPeB CAG G8s,,,,
SAL_218,Rack 4,C4,7/21/23 0:00,Viral,Aquatic,Unknown,,WT,ECJ,Pleurodeles waltl,AABL1550,ECJ Viral PHPeB CAG G8s,,,,
SAL_219,Rack 4,C4,7/21/23 0:00,Viral,Aquatic,Unknown,,WT,ECJ,Pleurodeles waltl,AABL1550,ECJ Viral PHPeB CAG G8s,,,,
SAL_220,Rack 4,C4,7/21/23 0:00,Viral,Aquatic,Unknown,,WT,ECJ,Pleurodeles waltl,AABL1550,ECJ Viral PHPeB CAG G8s,,,,
SAL_221,Rack 4,C4,7/21/23 0:00,Viral,Aquatic,Unknown,,WT,ECJ,Pleurodeles waltl,AABL1550,ECJ Viral PHPeB CAG G8s,,,,
SAL_222,Rack 6,C5,7/21/23 0:00,,Aquatic,Unknown,,WT,,Pleurodeles waltl,AABF2564,,,,,
SAL_223,Rack 6,C5,7/21/23 0:00,,Aquatic,Unknown,,WT,,Pleurodeles waltl,AABF2564,,,,,
SAL_224,Rack 10,B1,11/24/23 0:00,Terra E ,Terrestrial,Unknown,F1,hsyn-GCaMP6s,TS ECJ Imaging,Pleurodeles waltl,AABL1550,,,11/12/24 0:00,,Gummy Schedule
SAL_225,Rack 10,B1,11/24/23 0:00,Terra E ,Terrestrial,Unknown,F1,hsyn-GCaMP6s,TS ECJ Imaging,Pleurodeles waltl,AABL1550,,,11/12/24 0:00,,Gummy Schedule
SAL_226,Rack 10,B1,11/24/23 0:00,Terra E ,Terrestrial,Unknown,F1,hsyn-GCaMP6s,TS ECJ Imaging,Pleurodeles waltl,AABL1550,,,11/12/24 0:00,,Gummy Schedule
SAL_227,Rack 10,B1,11/24/23 0:00,Terra E ,Terrestrial,Unknown,F1,hsyn-GCaMP6s,TS ECJ Imaging,Pleurodeles waltl,AABL1550,,,11/12/24 0:00,,Gummy Schedule
SAL_228,Rack 10,B1,11/24/23 0:00,Terra E ,Terrestrial,Unknown,F1,hsyn-GCaMP6s,TS ECJ Imaging,Pleurodeles waltl,AABL1550,,,11/12/24 0:00,,Gummy Schedule
SAL_229,Rack 10,B1,11/24/23 0:00,Terra E ,Terrestrial,Unknown,F1,hsyn-GCaMP6s,TS ECJ Imaging,Pleurodeles waltl,AABL1550,,,11/12/24 0:00,,Gummy Schedule
SAL_230,Rack 10,B1,11/24/23 0:00,Terra E ,Terrestrial,Unknown,F1,hsyn-GCaMP6s,TS ECJ Imaging,Pleurodeles waltl,AABL1550,,,11/12/24 0:00,,Gummy Schedule
SAL_231,Rack 10,B1,11/24/23 0:00,Terra E ,Terrestrial,Unknown,F1,hsyn-GCaMP6s,TS ECJ Imaging,Pleurodeles waltl,AABL1550,,,11/12/24 0:00,,Gummy Schedule
SAL_232,Rack 10,B2,11/24/23 0:00,Terra F,Terrestrial,Unknown,F1,hsyn-GCaMP6s,TS ECJ Imaging,Pleurodeles waltl,AABL1550,,,12/5/24 0:00,,Gummy Schedule
SAL_233,Rack 10,B2,11/24/23 0:00,Terra F,Terrestrial,Unknown,F1,hsyn-GCaMP6s,TS ECJ Imaging,Pleurodeles waltl,AABL1550,,,12/5/24 0:00,,Gummy Schedule
SAL_234,Rack 10,B2,11/24/23 0:00,Terra F,Terrestrial,Unknown,F1,hsyn-GCaMP6s,TS ECJ Imaging,Pleurodeles waltl,AABL1550,,,12/5/24 0:00,,Gummy Schedule
SAL_235,Rack 10,B3,12/9/23 0:00,Terra G,Terrestrial,Unknown,,WT,AMMM JW ,Pleurodeles waltl,AABL1550,,,7/30/24 0:00,,Gummy Schedule
SAL_236,Rack 10,B3,12/9/23 0:00,Terra G,Terrestrial,Unknown,,WT,AMMM JW ,Pleurodeles waltl,AABL1550,,,7/30/24 0:00,,Gummy Schedule
SAL_237,Rack 10,B3,12/9/23 0:00,Terra G,Terrestrial,Unknown,,WT,AMMM JW ,Pleurodeles waltl,AABL1550,,,7/30/24 0:00,,Gummy Schedule
SAL_238,Rack 10,B3,12/9/23 0:00,Terra G,Terrestrial,Unknown,,WT,AMMM JW ,Pleurodeles waltl,AABL1550,,,7/30/24 0:00,,Gummy Schedule
SAL_239,Rack 10,B3,12/9/23 0:00,Terra G,Terrestrial,Unknown,,WT,AMMM JW ,Pleurodeles waltl,AABL1550,,,7/30/24 0:00,,Gummy Schedule
SAL_240,Rack 10,B3,12/9/23 0:00,Terra G,Terrestrial,Unknown,,WT,AMMM JW ,Pleurodeles waltl,AABL1550,,,7/30/24 0:00,,Gummy Schedule
SAL_241,Rack 10,B4,12/9/23 0:00,Terra H,Terrestrial,Unknown,,WT,AMMM JW ,Pleurodeles waltl,AABL1550,,,7/30/24 0:00,,Gummy Schedule
SAL_242,Rack 10,B4,12/9/23 0:00,Terra H,Terrestrial,Unknown,,WT,AMMM JW ,Pleurodeles waltl,AABL1550,,,7/30/24 0:00,,Gummy Schedule
SAL_243,Rack 10,B4,12/9/23 0:00,Terra H,Terrestrial,Unknown,,WT,AMMM JW ,Pleurodeles waltl,AABL1550,,,7/30/24 0:00,,Gummy Schedule
SAL_244,Rack 10,B4,12/9/23 0:00,Terra H,Terrestrial,Unknown,,WT,AMMM JW ,Pleurodeles waltl,AABL1550,,,7/30/24 0:00,,Gummy Schedule
SAL_245,Rack 10,B4,12/9/23 0:00,Terra H,Terrestrial,Unknown,,WT,AMMM JW ,Pleurodeles waltl,AABL1550,,,7/30/24 0:00,,Gummy Schedule
SAL_246,Rack 10,C2,12/9/23 0:00,Terra K,Terrestrial,Unknown,,WT,AMMM JW ,Pleurodeles waltl,AABL1550,,,7/30/24 0:00,,Gummy Schedule
SAL_247,Rack 10,C2,12/9/23 0:00,Terra K,Terrestrial,Unknown,,WT,AMMM JW ,Pleurodeles waltl,AABL1550,,,7/30/24 0:00,,Gummy Schedule
SAL_248,Rack 10,C2,12/9/23 0:00,Terra K,Terrestrial,Unknown,,WT,AMMM JW ,Pleurodeles waltl,AABL1550,,,7/30/24 0:00,,Gummy Schedule
SAL_249,Rack 10,C2,12/9/23 0:00,Terra K,Terrestrial,Unknown,,WT,AMMM JW ,Pleurodeles waltl,AABL1550,,,7/30/24 0:00,,Gummy Schedule
SAL_250,Rack 10,C2,12/9/23 0:00,Terra K,Terrestrial,Unknown,,WT,AMMM JW ,Pleurodeles waltl,AABL1550,,,7/30/24 0:00,,Gummy Schedule
SAL_251,Rack 10,C3,12/9/23 0:00,Terra I,Terrestrial,Unknown,,WT,AMMM JW ,Pleurodeles waltl,AABL1550,,,7/30/24 0:00,,Gummy Schedule
SAL_252,Rack 10,C3,12/9/23 0:00,Terra I,Terrestrial,Unknown,,WT,AMMM JW ,Pleurodeles waltl,AABL1550,,,7/30/24 0:00,,Gummy Schedule
SAL_253,Rack 10,C3,12/9/23 0:00,Terra I,Terrestrial,Unknown,,WT,AMMM JW ,Pleurodeles waltl,AABL1550,,,7/30/24 0:00,,Gummy Schedule
SAL_254,Rack 10,C3,12/9/23 0:00,Terra I,Terrestrial,Unknown,,WT,AMMM JW ,Pleurodeles waltl,AABL1550,,,7/30/24 0:00,,Gummy Schedule
SAL_255,Rack 10,C3,12/9/23 0:00,Terra I,Terrestrial,Unknown,,WT,AMMM JW ,Pleurodeles waltl,AABL1550,,,7/30/24 0:00,,Gummy Schedule
SAL_256,Rack 10,C4,11/24/23 0:00,Terra J,Terrestrial,Unknown,F1,hsyn-GCaMP6s,ECJ TS Imaging,Pleurodeles waltl,AABL1550,,,,,Gummy Schedule
SAL_257,Rack 10,C4,11/24/23 0:00,Terra J,Terrestrial,Unknown,F1,hsyn-GCaMP6s,ECJ TS Imaging,Pleurodeles waltl,AABL1550,,,,,Gummy Schedule
SAL_258,Rack 10,C4,11/24/23 0:00,Terra J,Terrestrial,Unknown,F1,hsyn-GCaMP6s,ECJ TS Imaging,Pleurodeles waltl,AABL1550,,,,,Gummy Schedule
SAL_259,Rack 10,C4,11/24/23 0:00,Terra J,Terrestrial,Unknown,F1,hsyn-GCaMP6s,ECJ TS Imaging,Pleurodeles waltl,AABL1550,,,,,Gummy Schedule
SAL_260,Rack 10,C4,11/24/23 0:00,Terra J,Terrestrial,Unknown,F1,hsyn-GCaMP6s,ECJ TS Imaging,Pleurodeles waltl,AABL1550,,,,,Gummy Schedule
SAL_261,Rack 10,C4,11/24/23 0:00,Terra J,Terrestrial,Unknown,F1,hsyn-GCaMP6s,ECJ TS Imaging,Pleurodeles waltl,AABL1550,,,,,Gummy Schedule
SAL_262,Rack 2,C3,4/15/24 0:00,Trackerseq,Aquatic,Unknown,,WT,AD High Signal ,Pleurodeles waltl,AABF2564,AD Trackerseq high signal,,,,
SAL_263,Rack 2,C3,4/15/24 0:00,Trackerseq,Aquatic,Unknown,,WT,AD High Signal ,Pleurodeles waltl,AABF2564,AD Trackerseq high signal,,,,
SAL_264,Rack 2,C3,4/15/24 0:00,Trackerseq,Aquatic,Unknown,,WT,AD High Signal ,Pleurodeles waltl,AABF2564,AD Trackerseq high signal,,,,
SAL_265,Rack 2,C3,4/15/24 0:00,Trackerseq,Aquatic,Unknown,,WT,AD High Signal ,Pleurodeles waltl,AABF2564,AD Trackerseq high signal,,,,
SAL_266,Rack 4,B4,12/9/23 0:00,Viral,Aquatic,Unknown,,WT,,Pleurodeles waltl,AABL1550,LX PHPeB CAG G8s Viral,,,,
SAL_267,Rack 4,B4,12/9/23 0:00,Viral,Aquatic,Unknown,,WT,,Pleurodeles waltl,AABL1550,LX PHPeB CAG G8s Viral,,,,
SAL_268,Rack 4,B4,12/9/23 0:00,Viral,Aquatic,Unknown,,WT,,Pleurodeles waltl,AABL1550,LX PHPeB CAG G8s Viral,,,,
SAL_269,Rack 4,B4,12/9/23 0:00,Viral,Aquatic,Unknown,,WT,,Pleurodeles waltl,AABL1550,LX PHPeB CAG G8s Viral,,,,
SAL_270,Rack 4,B4,12/9/23 0:00,Viral,Aquatic,Unknown,,WT,,Pleurodeles waltl,AABL1550,LX PHPeB CAG G8s Viral,,,,
SAL_271,Rack 4,B4,12/9/23 0:00,Viral,Aquatic,Unknown,,WT,,Pleurodeles waltl,AABL1550,LX PHPeB CAG G8s Viral,,,,
SAL_272,Rack 4,B4,12/9/23 0:00,Viral,Aquatic,Unknown,,WT,,Pleurodeles waltl,AABL1550,LX PHPeB CAG G8s Viral,,,,
SAL_273,Rack 4,B5,12/10/23 0:00,Viral,Aquatic,Unknown,,WT,,Pleurodeles waltl,AABL1550,LX PHPeB CAG G8s Viral,,,,
SAL_274,Rack 4,B5,12/10/23 0:00,Viral,Aquatic,Unknown,,WT,,Pleurodeles waltl,AABL1550,LX PHPeB CAG G8s Viral,,,,
SAL_275,Rack 4,B5,12/10/23 0:00,Viral,Aquatic,Unknown,,WT,,Pleurodeles waltl,AABL1550,LX PHPeB CAG G8s Viral,,,,
SAL_276,Rack 4,B5,12/10/23 0:00,Viral,Aquatic,Unknown,,WT,,Pleurodeles waltl,AABL1550,LX PHPeB CAG G8s Viral,,,,
SAL_277,Rack 4,B5,12/10/23 0:00,Viral,Aquatic,Unknown,,WT,,Pleurodeles waltl,AABL1550,LX PHPeB CAG G8s Viral,,,,
SAL_278,Rack 4,B5,12/10/23 0:00,Viral,Aquatic,Unknown,,WT,,Pleurodeles waltl,AABL1550,LX PHPeB CAG G8s Viral,,,,
SAL_279,Rack 4,C2,12/9/23 0:00,,Aquatic,Unknown,,WT,Breeding,Pleurodeles waltl,AABF2564,,,,,
SAL_280,Rack 4,C2,12/9/23 0:00,,Aquatic,Unknown,,WT,Breeding,Pleurodeles waltl,AABF2564,,,,,
SAL_281,Rack 4,C2,12/9/23 0:00,,Aquatic,Unknown,,WT,Breeding,Pleurodeles waltl,AABF2564,,,,,
SAL_282,Rack 4,C2,12/9/23 0:00,,Aquatic,Unknown,,WT,Breeding,Pleurodeles waltl,AABF2564,,,,,
SAL_283,Rack 4,C2,12/9/23 0:00,,Aquatic,Unknown,,WT,Breeding,Pleurodeles waltl,AABF2564,,,,,
SAL_284,Rack 4,C2,12/9/23 0:00,,Aquatic,Unknown,,WT,Breeding,Pleurodeles waltl,AABF2564,,,,,
SAL_285,Rack 11,A2,11/24/23 0:00,Terra M,Terrestrial,Unknown,,WT,JW Histology,Pleurodeles waltl,AABL1550,,,4/3/25 0:00,,Gummy Schedule
SAL_286,Rack 11,A2,11/24/23 0:00,Terra M,Terrestrial,Unknown,,WT,JW Histology,Pleurodeles waltl,AABL1550,,,4/3/25 0:00,,Gummy Schedule
SAL_287,Rack 11,A2,11/24/23 0:00,Terra M,Terrestrial,Unknown,,WT,JW Histology,Pleurodeles waltl,AABL1550,,,4/3/25 0:00,,Gummy Schedule
SAL_288,Rack 11,A2,11/24/23 0:00,Terra M,Terrestrial,Unknown,,WT,JW Histology,Pleurodeles waltl,AABL1550,,,4/3/25 0:00,,Gummy Schedule
SAL_289,Rack 11,A2,11/24/23 0:00,Terra M,Terrestrial,Unknown,,WT,JW Histology,Pleurodeles waltl,AABL1550,,,4/3/25 0:00,,Gummy Schedule
SAL_290,Rack 13 - Off,A1,12/9/23 0:00,Terra O,Terrestrial,Unknown,F1,hsyn-GCaMP6s,ECJ TS Imaging,Pleurodeles waltl,AABL1550,,,7/15/24 0:00,,Gummy Schedule
SAL_291,Rack 11,A4,12/9/23 0:00,Terra O,Terrestrial,Unknown,F1,hsyn-GCaMP6s,ECJ TS Imaging,Pleurodeles waltl,AABL1550,,,7/15/24 0:00,,Gummy Schedule
SAL_292,Rack 11,A4,12/9/23 0:00,Terra O,Terrestrial,Unknown,F1,hsyn-GCaMP6s,ECJ TS Imaging,Pleurodeles waltl,AABL1550,,,7/15/24 0:00,,Gummy Schedule
SAL_299,Rack 11,C1,11/24/23 0:00,Terra T,Terrestrial,Unknown,,WT,ECJ TS TY Rotation,Pleurodeles waltl,AABL1550,ECJ 1 day behavior,,12/11/24 0:00,,Gummy Schedule
SAL_300,Rack 11,C1,11/24/23 0:00,Terra T,Terrestrial,Unknown,,WT,ECJ TS TY Rotation,Pleurodeles waltl,AABL1550,ECJ 1 day behavior,,12/11/24 0:00,,Gummy Schedule
SAL_301,Rack 11,C1,11/24/23 0:00,Terra T,Terrestrial,Unknown,,WT,ECJ TS TY Rotation,Pleurodeles waltl,AABL1550,ECJ 1 day behavior,,12/11/24 0:00,,Gummy Schedule
SAL_302,Rack 11,C1,11/24/23 0:00,Terra T,Terrestrial,Unknown,,WT,ECJ TS TY Rotation,Pleurodeles waltl,AABL1550,ECJ 1 day behavior,,12/11/24 0:00,,Gummy Schedule
SAL_303,Rack 12,C1,2/8/23 0:00,,Aquatic,Male,F1,hsyn-GCaMP6s,Breeding,Pleurodeles waltl,AABL1550,True F1,,,,
SAL_304,Rack 1,C3,3/12/25 0:00,,Aquatic,Unknown,,WT,GG,Polypterus senegalus,AABY5655,,,,,
SAL_305,Rack 1,C3,3/12/25 0:00,,Aquatic,Unknown,,WT,GG,Polypterus senegalus,AABY5655,,,,,
SAL_306,Rack 1,C3,3/12/25 0:00,,Aquatic,Unknown,,WT,GG,Polypterus senegalus,AABY5655,,,,,
SAL_307,Rack 12,D1,11/24/24 0:00,,Aquatic,Female,F1,hsyn-GCaMP6s,Breeding,Pleurodeles waltl,AABL1550,,,,,
SAL_308,Rack 12,D1,11/24/24 0:00,,Aquatic,Female,F1,hsyn-GCaMP6s,Breeding,Pleurodeles waltl,AABL1550,,,,,
SAL_309,Rack 12,D1,11/24/24 0:00,,Aquatic,Female,F1,hsyn-GCaMP6s,Breeding,Pleurodeles waltl,AABL1550,,,,,
SAL_310,Rack 12,D1,11/24/24 0:00,,Aquatic,Male,F1,hsyn-GCaMP6s,Breeding,Pleurodeles waltl,AABL1550,,,,,
SAL_311,Rack 12,D1,11/24/24 0:00,,Aquatic,Male,F1,hsyn-GCaMP6s,Breeding,Pleurodeles waltl,AABL1550,,,,,
SAL_312,Rack 12,D1,11/24/24 0:00,,Aquatic,Male,F1,hsyn-GCaMP6s,Breeding,Pleurodeles waltl,AABL1550,,,,,
SAL_313,Rack 6,A1,11/24/24 0:00,,Aquatic,Unknown,F1,hsyn-GCaMP6s,LX St Jude,Pleurodeles waltl,AABL1550,,,,,
SAL_314,Rack 6,A1,11/24/24 0:00,,Aquatic,Unknown,F1,hsyn-GCaMP6s,LX St Jude,Pleurodeles waltl,AABL1550,,,,,
SAL_315,Rack 6,A1,11/24/24 0:00,,Aquatic,Unknown,F1,hsyn-GCaMP6s,LX St Jude,Pleurodeles waltl,AABL1550,,,,,
SAL_316,Rack 6,A1,11/24/24 0:00,,Aquatic,Unknown,F1,hsyn-GCaMP6s,LX St Jude,Pleurodeles waltl,AABL1550,,,,,
SAL_317,Rack 6,A1,11/24/24 0:00,,Aquatic,Unknown,F1,hsyn-GCaMP6s,LX St Jude,Pleurodeles waltl,AABL1550,,,,,
SAL_318,Rack 6,A1,11/24/24 0:00,,Aquatic,Unknown,F1,hsyn-GCaMP6s,LX St Jude,Pleurodeles waltl,AABL1550,,,,,
SAL_319,Rack 6,A1,11/24/24 0:00,,Aquatic,Unknown,F1,hsyn-GCaMP6s,LX St Jude,Pleurodeles waltl,AABL1550,,,,,
SAL_320,Rack 6,A1,11/24/24 0:00,,Aquatic,Unknown,F1,hsyn-GCaMP6s,LX St Jude,Pleurodeles waltl,AABL1550,,,,,
SAL_321,Rack 6,A2,11/24/24 0:00,,Aquatic,Unknown,F1,hsyn-GCaMP6s,LX St Jude,Pleurodeles waltl,AABL1550,,,,,
SAL_322,Rack 6,A2,11/24/24 0:00,,Aquatic,Unknown,F1,hsyn-GCaMP6s,LX St Jude,Pleurodeles waltl,AABL1550,,,,,
SAL_323,Rack 6,A2,11/24/24 0:00,,Aquatic,Unknown,F1,hsyn-GCaMP6s,LX St Jude,Pleurodeles waltl,AABL1550,,,,,
SAL_324,Rack 6,A2,11/24/24 0:00,,Aquatic,Unknown,F1,hsyn-GCaMP6s,LX St Jude,Pleurodeles waltl,AABL1550,,,,,
SAL_325,Rack 6,A2,11/24/24 0:00,,Aquatic,Unknown,F1,hsyn-GCaMP6s,LX St Jude,Pleurodeles waltl,AABL1550,,,,,
SAL_326,Rack 6,A2,11/24/24 0:00,,Aquatic,Unknown,F1,hsyn-GCaMP6s,LX St Jude,Pleurodeles waltl,AABL1550,,,,,
SAL_327,Rack 6,A2,11/24/24 0:00,,Aquatic,Unknown,F1,hsyn-GCaMP6s,LX St Jude,Pleurodeles waltl,AABL1550,,,,,
SAL_328,Rack 6,A2,11/24/24 0:00,,Aquatic,Unknown,F1,hsyn-GCaMP6s,LX St Jude,Pleurodeles waltl,AABL1550,,,,,
SAL_329,Rack 6,A4,11/24/24 0:00,,Aquatic,Unknown,F1,hsyn-GCaMP6s,LX St Jude,Pleurodeles waltl,AABL1550,,,,,
SAL_330,Rack 6,A4,11/24/24 0:00,,Aquatic,Unknown,F1,hsyn-GCaMP6s,LX St Jude,Pleurodeles waltl,AABL1550,,,,,
SAL_331,Rack 6,A4,11/24/24 0:00,,Aquatic,Unknown,F1,hsyn-GCaMP6s,LX St Jude,Pleurodeles waltl,AABL1550,,,,,
SAL_332,Rack 6,A4,11/24/24 0:00,,Aquatic,Unknown,F1,hsyn-GCaMP6s,LX St Jude,Pleurodeles waltl,AABL1550,,,,,
SAL_333,Rack 6,A4,11/24/24 0:00,,Aquatic,Unknown,F1,hsyn-GCaMP6s,LX St Jude,Pleurodeles waltl,AABL1550,,,,,
SAL_334,Rack 6,A4,11/24/24 0:00,,Aquatic,Unknown,F1,hsyn-GCaMP6s,LX St Jude,Pleurodeles waltl,AABL1550,,,,,
SAL_335,Rack 6,A4,11/24/24 0:00,,Aquatic,Unknown,F1,hsyn-GCaMP6s,LX St Jude,Pleurodeles waltl,AABL1550,,,,,
SAL_336,Rack 6,A4,11/24/24 0:00,,Aquatic,Unknown,F1,hsyn-GCaMP6s,LX St Jude,Pleurodeles waltl,AABL1550,,,,,
SAL_337,Rack 6,A5,11/24/24 0:00,,Aquatic,Unknown,F1,hsyn-GCaMP6s,LX St Jude,Pleurodeles waltl,AABL1550,,,,,
SAL_338,Rack 6,A5,11/24/24 0:00,,Aquatic,Unknown,F1,hsyn-GCaMP6s,LX St Jude,Pleurodeles waltl,AABL1550,,,,,
SAL_339,Rack 6,A5,11/24/24 0:00,,Aquatic,Unknown,F1,hsyn-GCaMP6s,LX St Jude,Pleurodeles waltl,AABL1550,,,,,
SAL_340,Rack 6,A5,11/24/24 0:00,,Aquatic,Unknown,F1,hsyn-GCaMP6s,LX St Jude,Pleurodeles waltl,AABL1550,,,,,
SAL_341,Rack 6,A5,11/24/24 0:00,,Aquatic,Unknown,F1,hsyn-GCaMP6s,LX St Jude,Pleurodeles waltl,AABL1550,,,,,
SAL_342,Rack 6,A5,11/24/24 0:00,,Aquatic,Unknown,F1,hsyn-GCaMP6s,LX St Jude,Pleurodeles waltl,AABL1550,,,,,
SAL_343,Rack 6,A5,11/24/24 0:00,,Aquatic,Unknown,F1,hsyn-GCaMP6s,LX St Jude,Pleurodeles waltl,AABL1550,,,,,
SAL_344,Rack 6,A5,11/24/24 0:00,,Aquatic,Unknown,F1,hsyn-GCaMP6s,LX St Jude,Pleurodeles waltl,AABL1550,,,,,
SAL_345,Rack 9,C1,12/10/24,,Aquatic,Unknown,,WT,,Pleurodeles waltl,AABF2564,,,,,
SAL_346,Rack 9,C1,12/10/24,,Aquatic,Unknown,,WT,,Pleurodeles waltl,AABF2564,,,,,
SAL_347,Rack 9,C1,12/10/24,,Aquatic,Unknown,,WT,,Pleurodeles waltl,AABF2564,,,,,
SAL_348,Rack 9,C1,12/10/24,,Aquatic,Unknown,,WT,,Pleurodeles waltl,AABF2564,,,,,
SAL_349,Rack 9,C1,12/10/24,,Aquatic,Unknown,,WT,,Pleurodeles waltl,AABF2564,,,,,
SAL_350,Rack 9,C1,12/10/24,,Aquatic,Unknown,,WT,,Pleurodeles waltl,AABF2564,,,,,
SAL_351,Rack 4,A3,1/3/25 0:00,,Aquatic,Unknown,,WT,,Pleurodeles waltl,AABF2564,,,,,
SAL_352,Rack 4,A3,1/3/25 0:00,,Aquatic,Unknown,,WT,,Pleurodeles waltl,AABF2564,,,,,
SAL_353,Rack 7,A2,1/3/25 0:00,,Aquatic,Unknown,,WT,,Pleurodeles waltl,AABF2564,,,,,
SAL_354,Rack 7,A2,1/3/25 0:00,,Aquatic,Unknown,,WT,,Pleurodeles waltl,AABF2564,,,,,
SAL_355,Rack 6,B2,11/24/23 0:00,,Aquatic,Unknown,F1,hsyn-GCaMP6s,,Pleurodeles waltl,AABL1550,,,,,
SAL_356,Rack 6,B2,11/24/23 0:00,,Aquatic,Unknown,F1,hsyn-GCaMP6s,,Pleurodeles waltl,AABL1550,,,,,
SAL_357,Rack 6,B2,11/24/23 0:00,,Aquatic,Unknown,F1,hsyn-GCaMP6s,,Pleurodeles waltl,AABL1550,,,,,
SAL_358,Rack 6,B2,11/24/23 0:00,,Aquatic,Unknown,F1,hsyn-GCaMP6s,,Pleurodeles waltl,AABL1550,,,,,
SAL_359,Rack 6,B2,11/24/23 0:00,,Aquatic,Unknown,F1,hsyn-GCaMP6s,,Pleurodeles waltl,AABL1550,,,,,
SAL_360,Rack 6,B2,11/24/23 0:00,,Aquatic,Unknown,F1,hsyn-GCaMP6s,,Pleurodeles waltl,AABL1550,,,,,
SAL_361,Rack 6,B2,11/24/23 0:00,,Aquatic,Unknown,F1,hsyn-GCaMP6s,,Pleurodeles waltl,AABL1550,,,,,
SAL_362,Rack 6,B2,11/24/23 0:00,,Aquatic,Unknown,F1,hsyn-GCaMP6s,,Pleurodeles waltl,AABL1550,,,,,
SAL_363,Rack 6,B3,11/24/23 0:00,,Aquatic,Unknown,F1,hsyn-GCaMP6s,,Pleurodeles waltl,AABL1550,,,,,
SAL_364,Rack 6,B3,11/24/23 0:00,,Aquatic,Unknown,F1,hsyn-GCaMP6s,,Pleurodeles waltl,AABL1550,,,,,
SAL_365,Rack 6,B3,11/24/23 0:00,,Aquatic,Unknown,F1,hsyn-GCaMP6s,,Pleurodeles waltl,AABL1550,,,,,
SAL_366,Rack 6,B3,11/24/23 0:00,,Aquatic,Unknown,F1,hsyn-GCaMP6s,,Pleurodeles waltl,AABL1550,,,,,
SAL_367,Rack 6,B3,11/24/23 0:00,,Aquatic,Unknown,F1,hsyn-GCaMP6s,,Pleurodeles waltl,AABL1550,,,,,
